"word","n"
"the",593795
"to",382068
"and",231630
"a",226355
"i",222339
"you",203043
"is",195754
"it",186720
"in",171108
"this",143134
"for",140074
"of",136352
"that",125039
"on",98256
"with",90983
"can",80916
"not",80810
"if",77633
"be",76274
"as",73369
"your",70411
"have",69970
"ubuntu",69843
"but",68975
"or",60185
"from",55151
"are",53639
"will",53168
"my",52637
"use",51861
"file",48673
"do",44093
"so",43449
"by",42461
"an",39605
"then",37946
"install",36518
"there",36086
"just",35499
"using",35470
"command",35292
"all",34388
"which",34056
"when",33278
"like",32675
"was",31776
"what",31458
"also",30752
"at",30465
"one",30166
"how",28415
"get",27731
"answer",27703
"run",27463
"me",27425
"system",26946
"work",26681
"need",26142
"should",25928
"only",25873
"want",25695
"no",25202
"see",24833
"any",24813
"files",24520
"some",23833
"would",23448
"it's",22716
"after",22500
"has",22400
"other",21981
"more",21663
"now",21581
"up",21574
"here",21277
"don't",20674
"terminal",20462
"installed",20335
"problem",20235
"same",20115
"way",19735
"does",19336
"windows",18827
"version",18575
"open",17763
"package",17487
"make",17481
"out",17338
"add",17110
"new",16965
"line",16823
"question",16486
"time",16416
"try",16309
"linux",16134
"about",16089
"user",15999
"works",15969
"i'm",15942
"running",15786
"set",15447
"default",15409
"following",15100
"could",14987
"may",14931
"first",14868
"know",14681
"find",14644
"change",14560
"used",14098
"script",14069
"still",13967
"boot",13937
"them",13927
"directory",13908
"into",13836
"because",13751
"had",13616
"doesn't",13607
"they",13572
"desktop",13014
"software",12597
"server",12554
"click",12484
"solution",12310
"packages",12297
"option",12228
"did",12221
"these",12053
"gnome",12006
"right",11844
"thanks",11706
"example",11654
"than",11611
"case",11592
"even",11336
"settings",11255
"am",11241
"found",11181
"without",11093
"etc",11015
"edit",10993
"well",10993
"where",10977
"something",10945
"tried",10919
"sure",10879
"create",10873
"update",10782
"partition",10766
"go",10753
"kernel",10607
"screen",10541
"i've",10523
"worked",10502
"check",10478
"very",10467
"error",10434
"output",10295
"type",10289
"folder",10246
"remove",10208
"its",10180
"name",10123
"source",9987
"think",9987
"root",9851
"we",9835
"might",9831
"start",9708
"issue",9687
"key",9645
"why",9626
"before",9613
"another",9590
"since",9413
"been",9355
"instead",9340
"good",9323
"bit",9282
"note",9259
"window",9212
"working",9151
"different",9147
"back",9096
"list",8957
"shell",8927
"drive",8920
"bug",8835
"unity",8759
"usb",8744
"available",8739
"already",8710
"again",8649
"help",8581
"commands",8536
"seems",8425
"above",8416
"able",8407
"however",8377
"too",8290
"two",8249
"most",8198
"download",8042
"link",8033
"manager",8006
"menu",7940
"while",7897
"both",7871
"disk",7833
"password",7830
"look",7782
"http",7730
"really",7663
"installation",7662
"read",7661
"please",7657
"apt",7651
"network",7639
"home",7633
"application",7593
"select",7574
"installing",7542
"ctrl",7475
"machine",7437
"possible",7429
"computer",7406
"sudo",7336
"can't",7296
"device",7222
"much",7210
"process",7185
"you're",7118
"such",7054
"fix",6999
"text",6970
"program",6962
"alt",6955
"https",6932
"access",6896
"actually",6873
"information",6858
"those",6772
"better",6708
"data",6705
"didn't",6685
"though",6674
"many",6628
"login",6580
"copy",6560
"options",6559
"applications",6505
"that's",6505
"support",6474
"x",6472
"users",6449
"via",6428
"keyboard",6298
"current",6259
"code",6234
"page",6230
"probably",6227
"trying",6205
"configuration",6204
"reboot",6178
"driver",6167
"under",6046
"mode",6009
"done",5988
"through",5978
"show",5957
"got",5940
"below",5894
"each",5778
"image",5777
"their",5758
"log",5754
"press",5746
"things",5706
"old",5645
"being",5623
"search",5622
"every",5594
"always",5517
"yes",5504
"grub",5500
"off",5489
"gui",5470
"save",5463
"once",5451
"nvidia",5450
"ppa",5404
"enter",5365
"put",5336
"upgrade",5324
"fine",5315
"doing",5282
"versions",5275
"down",5269
"point",5269
"anything",5266
"thing",5259
"over",5199
"questions",5199
"between",5193
"take",5193
"tool",5163
"either",5162
"give",5149
"end",5130
"setting",5128
"similar",5125
"post",5098
"space",5098
"everything",5077
"restart",5073
"bash",5030
"simple",4981
"were",4966
"number",4955
"drivers",4949
"answers",4934
"path",4919
"disable",4915
"tab",4896
"firefox",4893
"icon",4860
"os",4854
"write",4839
"simply",4836
"mount",4812
"video",4803
"method",4787
"button",4770
"automatically",4746
"display",4743
