"","word","n","exNum"
"1","the",26686,18
"2","a",14141,34
"3","to",13644,24
"4","is",11763,12
"5","of",11621,31
"6","in",10369,27
"7","and",9636,18
"8","i",8482,2
"9","that",7904,26
"10","it",7277,18
"11","you",5264,8
"12","as",4668,37
"13","for",4626,42
"14","or",4413,6
"15","this",4343,8
"16","not",4226,4
"17","be",4186,12
"18","but",3611,23
"19","with",3334,18
"20","are",3325,11
"21","an",2950,3
"22","have",2532,44
"23","was",2477,11
"24","on",2420,47
"25","if",2338,13
"26","one",2161,38
"27","from",2147,7
"28","would",2072,43
"29","english",1956,15
"30","by",1781,39
"31","use",1777,36
"32","which",1731,13
"33","more",1728,33
"34","so",1717,32
"35","used",1665,34
"36","it's",1646,14
"37","there",1643,19
"38","can",1628,17
"39","word",1617,32
"40","at",1593,12
"41","my",1591,3
"42","they",1554,27
"43","like",1526,43
"44","when",1466,13
"45","what",1410,32
"46","we",1387,8
"47","has",1386,30
"48","about",1332,20
"49","all",1331,39
"50","your",1267,11
"51","do",1266,44
"52","no",1253,9
"53","me",1251,9
"54","say",1249,13
"55","than",1219,9
"56","just",1204,12
"57","think",1181,33
"58","also",1180,3
"59","other",1159,17
"60","some",1136,16
"61","answer",1124,27
"62","people",1122,33
"63","who",1069,9
"64","only",1023,13
"65","question",1013,16
"66","s",976,16
"67","words",970,31
"68","don't",969,1
"69","because",951,9
"70","could",881,22
"71","e",877,16
"72","example",865,18
"73","he",862,6
"74","way",825,56
"75","any",815,9
"76","how",815,20
"77","will",814,24
"78","up",809,93
"79","should",782,12
"80","same",778,22
"81","two",766,12
"82","something",763,14
"83","their",746,29
"84","may",739,6
"85","most",739,24
"86","even",736,35
"87","out",724,78
"88","being",723,27
"89","been",716,11
"90","time",709,64
"91","where",694,17
"92","were",692,12
"93","here",690,29
"94","these",684,7
"95","see",683,41
"96","i'm",669,11
"97","does",668,40
"98","very",665,20
"99","meaning",664,28
"100","then",647,12
"101","both",643,13
"102","first",642,19
"103","them",636,32
"104","many",627,17
"105","might",623,10
"106","phrase",622,19
"107","well",621,39
"108","sentence",615,13
"109","such",615,22
"110","know",603,19
"111","different",576,19
"112","good",575,72
"113","common",569,27
"114","person",566,22
"115","had",564,30
"116","language",560,20
"117","usage",550,19
"118","why",550,8
"119","really",548,13
"120","doesn't",531,0
"121","much",529,18
"122","correct",526,18
"123","means",526,24
"124","its",524,18
"125","between",522,31
"126","term",516,19
"127","case",510,38
"128","someone",509,10
"129","his",504,8
"130","less",504,50
"131","though",503,12
"132","mean",501,40
"133","often",496,5
"134","make",495,91
"135","us",493,12
"136","form",483,39
"137","into",481,11
"138","using",476,36
"139","after",475,20
"140","still",472,28
"141","while",460,5
"142","too",459,5
"143","seems",452,18
"144","you're",448,1
"145","actually",444,10
"146","however",443,15
"147","always",442,16
"148","american",441,12
"149","over",440,60
"150","i've",439,0
"151","now",439,22
"152","am",431,13
"153","t",427,14
"154","before",426,26
"155","sense",422,28
"156","get",418,100
"157","those",413,27
"158","point",403,46
"159","sound",395,45
"160","that's",394,2
"161","rather",393,20
"162","dictionary",385,14
"163","never",382,13
"164","said",382,14
"165","did",380,40
"166","want",374,28
"167","wrong",373,24
"168","com",368,6
"169","work",367,64
"170","down",365,53
"171","etc",363,10
"172","context",360,11
"173","another",357,17
"174","new",357,37
"175","without",353,17
"176","find",352,26
"177","long",350,45
"178","since",350,8
"179","probably",343,11
"180","usually",342,18
"181","rule",338,29
"182","verb",338,10
"183","non",335,10
"184","right",334,59
"185","plural",330,10
"186","better",329,106
"187","saying",329,24
"188","isn't",328,0
"189","g",327,10
"190","name",324,38
"191","whether",323,13
"192","least",319,31
"193","thing",319,32
"194","things",317,32
"195","singular",315,13
"196","quite",312,13
"197","go",306,124
"198","either",304,29
"199","fact",304,17
"200","answers",303,27
"201","part",301,42
"202","she",298,2
"203","end",297,53
"204","british",295,11
"205","latin",295,11
"206","examples",294,18
"207","problem",294,12
"208","old",292,37
"209","sounds",292,45
"210","difference",291,19
"211","heard",288,20
"212","subject",287,24
"213","there's",287,18
"214","french",285,11
"215","can't",284,0
"216","number",281,52
"217","i'd",280,0
"218","sure",280,27
"219","read",278,36
"220","need",277,23
"221","noun",277,10
"222","makes",276,91
"223","going",273,117
"224","writing",273,30
"225","instead",271,13
"226","sometimes",271,10
"227","best",263,105
"228","thought",261,42
"229","note",259,26
"230","letter",257,13
"231","pronounced",256,22
"232","few",255,16
"233","her",255,7
"234","following",254,35
"235","yes",254,13
"236","take",253,159
"237","similar",250,12
"238","come",249,78
"239","original",249,19
"240","style",249,24
"241","called",245,68
"242","years",245,18
"243","off",244,52
"244","simply",244,14
"245","second",243,19
"246","understand",243,22
"247","rules",242,29
"248","place",240,53
"249","seem",240,18
"250","found",238,31
"251","made",238,79
"252","back",236,62
"253","written",235,26
"254","perhaps",234,11
"255","matter",233,29
"256","space",233,21
"257","own",231,16
"258","him",230,10
"259","course",228,22
"260","help",228,27
"261","says",228,13
"262","reason",227,24
"263","believe",226,15
"264","google",226,11
"265","languages",226,20
"266","lot",226,23
"267","anything",225,14
"268","pronunciation",225,14
"269","sentences",225,13
"270","although",224,10
"271","refer",224,15
"272","single",224,25
"273","comment",223,15
"274","man",223,41
"275","others",223,27
"276","past",223,26
"277","three",222,10
"278","formal",220,25
"279","agree",218,23
"280","wikipedia",218,-1
"281","definition",217,12
"282","n",217,13
"283","bit",215,40
"284","each",215,21
"285","having",215,54
"286","little",215,42
"287","look",214,58
"288","idea",213,18
"289","object",212,15
"290","soccer",212,10
"291","b",211,13
"292","specific",211,16
"293","thanks",211,16
"294","u",211,11
"295","clear",210,65
"296","general",210,22
"297","article",209,16
"298","line",209,72
"299","native",209,32
"300","our",209,9
"301","last",208,46
"302","far",207,33
"303","sic",206,12
"304","write",206,26
"305","around",205,43
"306","d",204,17
"307","looking",203,58
"308","above",202,29
"309","men",202,31
"310","seen",201,41
"311","speaker",201,10
"312","german",200,12
"313","uses",200,30
"314","cases",198,38
"315","comes",198,71
"316","day",198,23
"317","given",198,71
"318","generally",197,13
"319","already",196,16
"320","cannot",196,2
"321","grammar",196,13
"322","c",195,14
"323","didn't",195,0
"324","m",194,13
"325","vowel",194,5
"326","possible",193,15
"327","standard",193,21
"328","comments",191,15
"329","h",191,10
"330","modern",190,16
"331","related",190,16
"332","speakers",190,10
"333","terms",190,18
"334","put",189,82
"335","thank",189,16
"336","call",188,68
"337","kind",188,24
"338","great",186,35
"339","must",186,16
"340","nothing",186,26
"341","pronoun",185,10
"342","reference",185,15
"343","exactly",184,11
"344","particular",184,21
"345","speech",183,17
"346","through",183,34
"347","describe",182,16
"348","likely",182,6
"349","expression",180,17
"350","guess",180,19
"351","questions",178,16
"352","comma",177,6
"353","enough",175,13
"354","especially",174,13
"355","until",174,14
"356","considered",173,18
"357","full",172,25
"358","ever",171,6
"359","next",171,19
"360","real",171,29
"361","short",171,35
"362","feel",170,36
"363","state",170,28
"364","y",170,14
"365","certainly",169,13
"366","give",169,71
"367","king",169,14
"368","quote",169,12
"369","high",167,45
"370","times",167,38
"371","maybe",166,11
"372","post",166,20
"373","type",166,19
"374","true",165,27
"375","women",164,21
"376","else",163,8
"377","every",163,6
"378","hand",162,99
"379","interesting",162,28
"380","talking",162,35
"381","care",161,27
"382","th",161,11
"383","several",160,13
"384","text",160,18
"385","uk",160,10
"386","j",159,10
"387","trying",159,27
"388","needs",158,23
"389","whom",158,10
"390","group",157,13
"391","important",157,18
"392","speaking",157,30
"393","dinner",156,10
"394","almost",155,14
"395","avoid",155,14
"396","doing",155,51
"397","forms",155,34
"398","pretty",155,19
"399","set",155,92
"400","tell",155,26
